Billing document,Billing Type,Calendar Day,Material group,,Plant,,Sales Office,,Sold-to party,Billing Qty:Base UoM
5010601712,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30938,5
5010601713,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,23079,21
5010601714,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,23079,4
5010601715,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4000,CHENNAI Zonal Office,27117,21
5010601716,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,26207,16
5010601717,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,8
5010601718,ZP01,04.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,4000,CHENNAI Zonal Office,27117,21
5010601719,ZP01,04.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,12
5010601720,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,21177,20
5010601721,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30936,10
5010601722,ZP01,04.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,31654,21
5010601723,ZP01,04.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,25524,10
