"Material.group","Plant","Sales.Office","Billing.Qty.Base.UoM","Lower_Predicted_Value","Higher_Predicted_Value","Date"
"FG0003",5010,"2000",25,2480564.99441031,2505370.64435441,2018-01-05
"FG0001",5010,"4100",16,1539616.65901946,1555012.82560965,2018-01-05
"FG0023",5010,"4200",21,2077274.13113727,2098046.87244864,2018-01-05
"FG0023",5010,"1000",15,1466322.12345183,1480985.34468635,2018-01-05
"FG0002",5010,"1300",15,1475134.73942338,1489886.08681761,2018-01-05
"FG0002",5010,"1300",13,1267535.09761709,1280210.44859326,2018-01-05
"FG0023",5010,"2000",10,927798.500579938,937076.485585738,2018-01-05
"FG0022",5010,"2000",10,856838.657409325,865407.043983418,2018-01-05
"FG0022",5010,"2000",11,960638.478312477,970244.863095602,2018-01-05
"FG0003",5010,"2100",16,1545017.56640472,1560467.74206876,2018-01-05
"FG0022",5010,"2100",6,440290.333919466,444693.23725866,2018-01-05
"FG0001",5010,"2100",3,180758.786077231,182566.373938003,2018-01-05
"FG0001",5010,"2100",7,595958.06968981,601917.650386708,2018-01-05
"FG0002",5010,"4100",5,417469.3233179,421644.016551079,2018-01-05
"FG0023",5010,"1000",11.953,1149879.18868144,1161377.98056825,2018-01-06
"FG0003",5010,"1000",3.976,317637.197620273,320813.569596475,2018-01-06
"FG0023",5010,"2000",10,927633.620101437,936909.956302451,2018-01-06
"FG0023",5010,"2000",11,1031433.44100459,1041747.77541464,2018-01-06
"FG0001",5010,"2000",10,908541.691798031,917627.108716012,2018-01-06
"FG0002",5010,"2000",6,512993.102418497,518123.033442682,2018-01-06
"FG0023",5010,"2000",25,2484630.9336486,2509477.24298509,2018-01-06
"FG0003",5010,"1300",5,432182.064267009,436503.88490968,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
"FG0014",5010,"2000",21,2069451.56642762,2090146.08209189,2018-01-06
"FG0022",5010,"2000",16,1479472.70234969,1494267.42937319,2018-01-06
"FG0003",5010,"1200",15,1465551.20688832,1480206.7189572,2018-01-06
"FG0003",5010,"2000",17,1650001.54670665,1666501.56217371,2018-01-06
"FG0023",5010,"2000",4,304834.694682583,307883.041629409,2018-01-06
"FG0023",5010,"4200",21,2077109.25065877,2097880.34316535,2018-01-06
"FG0022",5010,"4000",21,1999816.58536023,2019814.75121383,2018-01-06
"FG0002",5010,"1100",15,1471902.50732721,1486621.53240049,2018-01-06
"FG0002",5010,"2100",16,1549642.27157263,1565138.69428836,2018-01-06
"FG0022",5010,"4200",21,2006149.40748815,2026210.90156303,2018-01-06
"FG0001",5010,"4000",10,909886.470292851,918985.33499578,2018-01-06
"FG0001",5010,"4000",11,1013686.291196,1023823.15410796,2018-01-06
"FG0001",5010,"2100",16,1529991.5773396,1545291.493113,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
"FG0001",5010,"2000",25,2465539.0053452,2490194.39539865,2018-01-06
"FG0023",5010,"2000",16,1550432.54552031,1565936.87097551,2018-01-06
"FG0014",5010,"2000",21,2069451.56642762,2090146.08209189,2018-01-06
"FG0023",5010,"1100",21,2094142.66681644,2115084.09348461,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
"FG0001",5010,"2000",16,1531340.6172169,1546654.02338907,2018-01-06
"FG0014",5010,"1200",20,1988801.04751243,2008689.05798755,2018-01-06
"FG0001",5010,"2000",16,1531340.6172169,1546654.02338907,2018-01-06
"FG0023",5010,"2000",21,2069431.65003602,2090125.96653638,2018-01-06
"FG0023",5010,"2000",15,1446632.72461717,1461099.05186334,2018-01-06
"FG0023",5010,"2000",4,304834.694682583,307883.041629409,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
