Sold_to_party,Total_Score,customerType
29761,341,Potential Loyalist
29637,341,Potential Loyalist
29459,341,Potential Loyalist
20869,341,Potential Loyalist
25135,341,Potential Loyalist
23834,341,Potential Loyalist
25221,341,Potential Loyalist
26444,341,Potential Loyalist
22673,341,Potential Loyalist
25079,341,Potential Loyalist
21506,341,Potential Loyalist
29396,335,Loyal
26655,335,Loyal
27798,335,Loyal
26894,335,Loyal
29457,335,Loyal
29810,335,Loyal
22551,335,Loyal
28935,335,Loyal
28979,335,Loyal
26415,335,Loyal
25134,335,Loyal
28723,335,Loyal
24824,335,Loyal
29123,335,Loyal
28053,335,Loyal
20296,335,Loyal
27792,335,Loyal
29745,335,Loyal
28226,335,Loyal
28081,335,Loyal
25734,334,Loyal
25142,334,Loyal
29570,334,Loyal
22513,334,Loyal
30067,334,Loyal
25885,334,Loyal
26210,334,Loyal
25343,334,Loyal
27114,334,Loyal
28459,334,Loyal
28958,334,Loyal
27616,334,Loyal
21095,334,Loyal
28156,334,Loyal
26467,333,Loyal
29577,333,Loyal
23899,333,Loyal
27248,333,Loyal
29649,333,Loyal
21781,333,Loyal
29676,333,Loyal
28704,333,Loyal
21850,333,Loyal
29624,333,Loyal
27670,333,Loyal
30050,333,Loyal
28185,333,Loyal
21754,333,Loyal
21197,332,Potential Loyalist
27364,332,Potential Loyalist
23586,332,Potential Loyalist
29852,332,Potential Loyalist
21422,332,Potential Loyalist
26750,332,Potential Loyalist
28162,332,Potential Loyalist
26288,332,Potential Loyalist
27090,332,Potential Loyalist
23670,332,Potential Loyalist
29551,332,Potential Loyalist
21262,332,Potential Loyalist
20304,332,Potential Loyalist
29131,332,Potential Loyalist
21589,332,Potential Loyalist
29282,332,Potential Loyalist
24720,332,Potential Loyalist
23664,331,Potential Loyalist
23668,331,Potential Loyalist
21050,331,Potential Loyalist
21009,331,Potential Loyalist
27781,331,Potential Loyalist
23754,331,Potential Loyalist
29871,331,Potential Loyalist
28077,331,Potential Loyalist
27100,331,Potential Loyalist
26529,331,Potential Loyalist
26174,331,Potential Loyalist
21093,331,Potential Loyalist
20198,331,Potential Loyalist
30032,331,Potential Loyalist
26556,331,Potential Loyalist
26525,331,Potential Loyalist
26735,331,Potential Loyalist
23856,331,Potential Loyalist
23634,331,Potential Loyalist
28161,331,Potential Loyalist
22868,331,Potential Loyalist
29338,331,Potential Loyalist
30066,331,Potential Loyalist
24930,331,Potential Loyalist
24932,331,Potential Loyalist
28384,331,Potential Loyalist
21597,331,Potential Loyalist
23806,331,Potential Loyalist
29882,325,Loyal
22980,325,Loyal
29229,325,Loyal
28940,325,Loyal
24726,325,Loyal
29476,325,Loyal
29754,325,Loyal
29912,325,Loyal
29656,325,Loyal
30085,325,Loyal
29827,325,Loyal
26087,325,Loyal
29614,325,Loyal
30123,325,Loyal
28094,325,Loyal
29842,324,Loyal
20902,324,Loyal
29875,324,Loyal
27020,324,Loyal
27488,324,Loyal
26700,324,Loyal
25345,324,Loyal
26841,324,Loyal
30095,324,Loyal
29224,324,Loyal
25838,324,Loyal
29825,324,Loyal
30031,323,Potential Loyalist
27496,323,Potential Loyalist
29967,323,Potential Loyalist
28012,323,Potential Loyalist
30005,323,Potential Loyalist
24881,323,Potential Loyalist
29853,323,Potential Loyalist
21068,323,Potential Loyalist
29807,323,Potential Loyalist
21116,323,Potential Loyalist
29776,323,Potential Loyalist
29788,323,Potential Loyalist
30061,323,Potential Loyalist
27111,323,Potential Loyalist
20713,322,Potential Loyalist
28314,322,Potential Loyalist
28288,322,Potential Loyalist
28385,322,Potential Loyalist
29881,322,Potential Loyalist
30076,322,Potential Loyalist
29877,322,Potential Loyalist
29851,322,Potential Loyalist
21863,322,Potential Loyalist
