,
Calendar_Day,Net_Value
10.11.2015 Total,"62,375,520.79"
11.11.2015 Total,"23,969,838.88"
13.11.2015 Total,"25,111,115.16"
14.11.2015 Total,"48,352,057.18"
16.11.2015 Total,"11,749,419.18"
17.11.2015 Total,"75,689,646.45"
18.11.2015 Total,"72,185,170.23"
19.11.2015 Total,"53,166,229.97"
20.11.2015 Total,"49,380,192.48"
21.11.2015 Total,"67,205,470.13"
22.11.2015 Total,"37,007,531.44"
23.11.2015 Total,"34,501,759.83"
24.11.2015 Total,"43,118,689.81"
25.11.2015 Total,"48,452,035.57"
26.11.2015 Total,"68,957,209.03"
27.11.2015 Total,"143,686,794.10"
28.11.2015 Total,"161,988,466.98"
29.11.2015 Total,"109,333,069.21"
30.11.2015 Total,"44,740,556.15"
02.12.2015 Total,"25,138,605.73"
03.12.2015 Total,"116,867,178.48"
04.12.2015 Total,"72,097,645.59"
05.12.2015 Total,"35,553,196.39"
06.12.2015 Total,"32,703,642.67"
07.12.2015 Total,"13,427,271.39"
08.12.2015 Total,"46,732,788.32"
09.12.2015 Total,"16,831,788.96"
10.12.2015 Total,"14,759,381.06"
11.12.2015 Total,"25,244,888.56"
12.12.2015 Total,"48,020,216.00"
13.12.2015 Total,"20,367,532.48"
14.12.2015 Total,"18,306,540.52"
15.12.2015 Total,"37,265,245.37"
16.12.2015 Total,"26,033,938.71"
18.12.2015 Total,"112,558,118.20"
19.12.2015 Total,"147,724,082.10"
20.12.2015 Total,"87,977,569.46"
21.12.2015 Total,"48,050,817.82"
22.12.2015 Total,"95,491,579.71"
23.12.2015 Total,"62,183,834.72"
24.12.2015 Total,"114,610,533.29"
25.12.2015 Total,"132,809,296.04"
26.12.2015 Total,"83,675,914.95"
27.12.2015 Total,"55,497,662.43"
28.12.2015 Total,"78,284,203.45"
29.12.2015 Total,"211,293,767.33"
30.12.2015 Total,"150,439,497.16"
31.12.2015 Total,"159,356,078.50"
08.01.2014 Total,"4,031,125.50"
11.01.2014 Total,"114,399.00"
13.01.2014 Total,"559,407.50"
14.01.2014 Total,"1,136,437.50"
15.01.2014 Total,"554,904.50"
16.01.2014 Total,"566,247.50"
17.01.2014 Total,"1,678,222.50"
21.01.2014 Total,"1,692,207.69"
24.01.2014 Total,"546,202.50"
25.01.2014 Total,"223,763.00"
27.01.2014 Total,"992,948.31"
28.01.2014 Total,"327,721.50"
29.01.2014 Total,"12,436,972.50"
12.02.2014 Total,"582,872.50"
14.02.2014 Total,"582,872.50"
15.02.2014 Total,"582,872.50"
17.02.2014 Total,"582,872.50"
